ZT	CT	LHY.1	Campo	Organ	Splice	Temperature	Light
-1.5	-1.44	0.937710516	C1	L1	FS	10	0
-1.5	-1.44	0.946607811	C1	L1	FS	10	0
-1.5	-1.44	0.349490291	C1	L1	FS	10	0
-1.5	-1.44	0.62883098	C1	L1	AS	10	0
-1.5	-1.44	0.639618635	C1	L1	AS	10	0
-1.5	-1.44	0.249387559	C1	L1	AS	10	0
0.5	0.52173913	0.519711619	C1	L1	FS	10	0.073333333
0.5	0.52173913	0.398164077	C1	L1	FS	10	0.073333333
0.5	0.52173913	1.024750252	C1	L1	FS	10	0.073333333
0.5	0.52173913	0.345140621	C1	L1	AS	10	0.073333333
0.5	0.52173913	0.230598237	C1	L1	AS	10	0.073333333
0.5	0.52173913	0.526349457	C1	L1	AS	10	0.073333333
2.5	2.608695652	0.479886538	C1	L1	FS	19	1.166666667
2.5	2.608695652	0.739877136	C1	L1	FS	19	1.166666667
2.5	2.608695652	0.635234958	C1	L1	FS	19	1.166666667
2.5	2.608695652	0.054742545	C1	L1	AS	19	1.166666667
2.5	2.608695652	0.069565692	C1	L1	AS	19	1.166666667
2.5	2.608695652	0.045266576	C1	L1	AS	19	1.166666667
4.5	4.695652174	1.073087804	C1	L1	FS	24	2.313333333
4.5	4.695652174	0.922125316	C1	L1	FS	24	2.313333333
4.5	4.695652174	1.224050292	C1	L1	FS	24	2.313333333
4.5	4.695652174	0.307599056	C1	L1	AS	24	2.313333333
4.5	4.695652174	0.005029105	C1	L1	AS	24	2.313333333
4.5	4.695652174	0.006110311	C1	L1	AS	24	2.313333333
6.5	6.782608696	2.08115457	C1	L1	FS	26	2.786666667
6.5	6.782608696	0.117241604	C1	L1	FS	26	2.786666667
6.5	6.782608696	0.345983533	C1	L1	FS	26	2.786666667
6.5	6.782608696	0.009574283	C1	L1	AS	26	2.786666667
6.5	6.782608696	0	C1	L1	AS	26	2.786666667
6.5	6.782608696	0.003952462	C1	L1	AS	26	2.786666667
8.5	8.869565217	0.03515238	C1	L1	FS	27	2.206666667
8.5	8.869565217	0.058900777	C1	L1	FS	27	2.206666667
8.5	8.869565217	0.019806713	C1	L1	FS	27	2.206666667
8.5	8.869565217	0	C1	L1	AS	27	2.206666667
8.5	8.869565217	0.003240932	C1	L1	AS	27	2.206666667
8.5	8.869565217	0	C1	L1	AS	27	2.206666667
10.5	10.95652174	0.628495081	C1	L1	FS	26	0.866666667
10.5	10.95652174	0.013415309	C1	L1	FS	26	0.866666667
10.5	10.95652174	0	C1	L1	FS	26	0.866666667
10.5	10.95652174	0.007967983	C1	L1	AS	26	0.866666667
10.5	10.95652174	0	C1	L1	AS	26	0.866666667
10.5	10.95652174	0	C1	L1	AS	26	0.866666667
12.5	12.96	0.48502029	C1	L1	FS	21	0
12.5	12.96	0.060502008	C1	L1	FS	21	0
12.5	12.96	0.0461569	C1	L1	FS	21	0
12.5	12.96	0.010784457	C1	L1	AS	21	0
12.5	12.96	0	C1	L1	AS	21	0
12.5	12.96	0	C1	L1	AS	21	0
14.5	14.88	0.018477163	C1	L1	FS	18	0
14.5	14.88	0.01047835	C1	L1	FS	18	0
14.5	14.88	0.015275921	C1	L1	FS	18	0
14.5	14.88	0	C1	L1	AS	18	0
14.5	14.88	0	C1	L1	AS	18	0
14.5	14.88	0	C1	L1	AS	18	0
16.5	16.8	0.372081831	C1	L1	FS	14	0
16.5	16.8	0.022085618	C1	L1	FS	14	0
16.5	16.8	0.011035311	C1	L1	FS	14	0
16.5	16.8	0.05305731	C1	L1	AS	14	0
16.5	16.8	0.005796169	C1	L1	AS	14	0
16.5	16.8	0	C1	L1	AS	14	0
18.5	18.72	0.144336602	C1	L1	FS	14	0
18.5	18.72	0.044241882	C1	L1	FS	14	0
18.5	18.72	0.038465684	C1	L1	FS	14	0
18.5	18.72	0.064576246	C1	L1	AS	14	0
18.5	18.72	0.036465191	C1	L1	AS	14	0
18.5	18.72	0.020510925	C1	L1	AS	14	0
20.5	20.64	0.810886976	C1	L1	FS	13	0
20.5	20.64	0.337319002	C1	L1	FS	13	0
20.5	20.64	0.468218826	C1	L1	FS	13	0
20.5	20.64	0.6622539	C1	L1	AS	13	0
20.5	20.64	0.243537069	C1	L1	AS	13	0
20.5	20.64	0.226253392	C1	L1	AS	13	0
22.5	22.56	0.328355813	C1	L1	FS	12	0
22.5	22.56	0.294775687	C1	L1	FS	12	0
22.5	22.56	0.089930104	C1	L1	FS	12	0
22.5	22.56	0.452405438	C1	L1	AS	12	0
22.5	22.56	0.318622532	C1	L1	AS	12	0
22.5	22.56	0.079050538	C1	L1	AS	12	0
24.5	24.52173913	2.06917371	C1	L1	FS	12	0.073333333
24.5	24.52173913	0.124710687	C1	L1	FS	12	0.073333333
24.5	24.52173913	0.045954736	C1	L1	FS	12	0.073333333
24.5	24.52173913	0.095138489	C1	L1	AS	12	0.073333333
24.5	24.52173913	0.140526466	C1	L1	AS	12	0.073333333
24.5	24.52173913	0.049750512	C1	L1	AS	12	0.073333333
