ZT	CT	PRR37.31	Campo	Organ	Splice	Temperature	Light
-1.5	-1.953488372	0.185803747	C2	L1	FS	17	0
0.5	0.226415094	0.033433298	C2	L1	FS	17	0
2.5	2.037735849	0.042526101	C2	L1	FS	18	0.744444444
4.5	3.849056604	0.215728388	C2	L1	FS	22	1.907407407
6.5	5.660377358	0.659723168	C2	L1	FS	26	2.533333333
8.5	7.471698113	0.407375798	C2	L1	FS	28	2.559259259
10.5	9.283018868	0.642116443	C2	L1	FS	29	1.385185185
12.5	11.09433962	0.339021273	C2	L1	FS	29	0.496296296
14.5	13.11627907	0.782676222	C2	L1	FS	26	0
16.5	15.34883721	0.542205478	C2	L1	FS	23	0
18.5	17.58139535	0.529718099	C2	L1	FS	21	0
20.5	19.81395349	0.058933553	C2	L1	FS	19	0
22.5	22.04651163	0	C2	L1	FS	18	0
24.5	24.22641509	0	C2	L1	FS	18	0
-1.5	-1.953488372	0.248899033	C2	L1	FS	17	0
0.5	0.226415094	0.097581576	C2	L1	FS	17	0
2.5	2.037735849	0.172867824	C2	L1	FS	18	0.744444444
4.5	3.849056604	0.217918087	C2	L1	FS	22	1.907407407
6.5	5.660377358	0.908910154	C2	L1	FS	26	2.533333333
8.5	7.471698113	0.777229814	C2	L1	FS	28	2.559259259
10.5	9.283018868	0.695438893	C2	L1	FS	29	1.385185185
12.5	11.09433962	0.407215552	C2	L1	FS	29	0.496296296
14.5	13.11627907	0.512333752	C2	L1	FS	26	0
16.5	15.34883721	0.620974152	C2	L1	FS	23	0
18.5	17.58139535	0.234748455	C2	L1	FS	21	0
20.5	19.81395349	0.11482099	C2	L1	FS	19	0
22.5	22.04651163	0.196822169	C2	L1	FS	18	0
24.5	24.22641509	0.160226628	C2	L1	FS	18	0
-1.5	-1.953488372	0.086888491	C2	L1	FS	17	0
0.5	0.226415094	0.087041413	C2	L1	FS	17	0
2.5	2.037735849	0.038814336	C2	L1	FS	18	0.744444444
4.5	3.849056604	0.195987103	C2	L1	FS	22	1.907407407
6.5	5.660377358	1.351463724	C2	L1	FS	26	2.533333333
8.5	7.471698113	0.610592165	C2	L1	FS	28	2.559259259
10.5	9.283018868	0.286792044	C2	L1	FS	29	1.385185185
12.5	11.09433962	0.233736584	C2	L1	FS	29	0.496296296
14.5	13.11627907	0.094000172	C2	L1	FS	26	0
16.5	15.34883721	0.074896625	C2	L1	FS	23	0
18.5	17.58139535	0.039546174	C2	L1	FS	21	0
20.5	19.81395349	0.015317592	C2	L1	FS	19	0
22.5	22.04651163	0.151139724	C2	L1	FS	18	0
24.5	24.22641509	0.124210542	C2	L1	FS	18	0
-1.5	-1.953488372	0	C2	L1	AS	17	0
0.5	0.226415094	0.006082635	C2	L1	AS	17	0
2.5	2.037735849	0.028217246	C2	L1	AS	18	0.744444444
4.5	3.849056604	0.141917534	C2	L1	AS	22	1.907407407
6.5	5.660377358	0.263864493	C2	L1	AS	26	2.533333333
8.5	7.471698113	0.122429616	C2	L1	AS	28	2.559259259
10.5	9.283018868	0.209345993	C2	L1	AS	29	1.385185185
12.5	11.09433962	0.125911074	C2	L1	AS	29	0.496296296
14.5	13.11627907	0.254091679	C2	L1	AS	26	0
16.5	15.34883721	0.05559726	C2	L1	AS	23	0
18.5	17.58139535	0.03281699	C2	L1	AS	21	0
20.5	19.81395349	0.004517469	C2	L1	AS	19	0
22.5	22.04651163	0	C2	L1	AS	18	0
24.5	24.22641509	0	C2	L1	AS	18	0
-1.5	-1.953488372	0.028838231	C2	L1	AS	17	0
0.5	0.226415094	0.019426223	C2	L1	AS	17	0
2.5	2.037735849	0.105130554	C2	L1	AS	18	0.744444444
4.5	3.849056604	0.106586799	C2	L1	AS	22	1.907407407
6.5	5.660377358	0.311669295	C2	L1	AS	26	2.533333333
8.5	7.471698113	0.238666849	C2	L1	AS	28	2.559259259
10.5	9.283018868	0.18589219	C2	L1	AS	29	1.385185185
12.5	11.09433962	0.137287724	C2	L1	AS	29	0.496296296
14.5	13.11627907	0.110478485	C2	L1	AS	26	0
16.5	15.34883721	0.06872908	C2	L1	AS	23	0
18.5	17.58139535	0.019925598	C2	L1	AS	21	0
20.5	19.81395349	0.017452723	C2	L1	AS	19	0
22.5	22.04651163	0.032852726	C2	L1	AS	18	0
24.5	24.22641509	0.034245854	C2	L1	AS	18	0
-1.5	-1.953488372	0.005570195	C2	L1	AS	17	0
0.5	0.226415094	0.014827005	C2	L1	AS	17	0
2.5	2.037735849	0.020728009	C2	L1	AS	18	0.744444444
4.5	3.849056604	0.120324799	C2	L1	AS	22	1.907407407
6.5	5.660377358	0.48587292	C2	L1	AS	26	2.533333333
8.5	7.471698113	0.177388538	C2	L1	AS	28	2.559259259
10.5	9.283018868	0.08728661	C2	L1	AS	29	1.385185185
12.5	11.09433962	0.073782875	C2	L1	AS	29	0.496296296
14.5	13.11627907	0.023581342	C2	L1	AS	26	0
16.5	15.34883721	0.009104287	C2	L1	AS	23	0
18.5	17.58139535	0.002028612	C2	L1	AS	21	0
20.5	19.81395349	0.002817928	C2	L1	AS	19	0
22.5	22.04651163	0.019238054	C2	L1	AS	18	0
24.5	24.22641509	0.030851962	C2	L1	AS	18	0
