ZT	CT	LHY.4	Campo	Organ	Splice	Temperature	Light
-1.5	-1.953488372	0.131146154	C2	I1	FS	17	0
0.5	0.226415094	0.306443057	C2	I1	FS	17	0
2.5	2.037735849	0.438400141	C2	I1	FS	18	0.744444444
4.5	3.849056604	0.786364311	C2	I1	FS	22	1.907407407
6.5	5.660377358	0.514220325	C2	I1	FS	26	2.533333333
8.5	7.471698113	0.284242264	C2	I1	FS	28	2.559259259
10.5	9.283018868	0.040722502	C2	I1	FS	29	1.385185185
12.5	11.09433962	0.025872162	C2	I1	FS	29	0.496296296
14.5	13.11627907	0.010119165	C2	I1	FS	26	0
16.5	15.34883721	0.007137249	C2	I1	FS	23	0
18.5	17.58139535	0.014202392	C2	I1	FS	21	0
20.5	19.81395349	0.017364838	C2	I1	FS	19	0
22.5	22.04651163	0.091277981	C2	I1	FS	18	0
24.5	24.22641509	0.214156853	C2	I1	FS	18	0
-1.5	-1.953488372	0.006824368	C2	I1	FS	17	0
0.5	0.226415094	0.019480136	C2	I1	FS	17	0
2.5	2.037735849	0.041977572	C2	I1	FS	18	0.744444444
4.5	3.849056604	0.067745056	C2	I1	FS	22	1.907407407
6.5	5.660377358	0.031448766	C2	I1	FS	26	2.533333333
8.5	7.471698113	0.012888921	C2	I1	FS	28	2.559259259
10.5	9.283018868	0.004251435	C2	I1	FS	29	1.385185185
12.5	11.09433962	0.000789236	C2	I1	FS	29	0.496296296
14.5	13.11627907	0	C2	I1	FS	26	0
16.5	15.34883721	0	C2	I1	FS	23	0
18.5	17.58139535	0	C2	I1	FS	21	0
20.5	19.81395349	0.000460791	C2	I1	FS	19	0
22.5	22.04651163	0.004167587	C2	I1	FS	18	0
24.5	24.22641509	0.014002327	C2	I1	FS	18	0
-1.5	-1.953488372	0.033228139	C2	I1	FS	17	0
0.5	0.226415094	0.067957435	C2	I1	FS	17	0
2.5	2.037735849	0.084831285	C2	I1	FS	18	0.744444444
4.5	3.849056604	0.130097031	C2	I1	FS	22	1.907407407
6.5	5.660377358	0.074830838	C2	I1	FS	26	2.533333333
8.5	7.471698113	0.039166423	C2	I1	FS	28	2.559259259
10.5	9.283018868	0.006682091	C2	I1	FS	29	1.385185185
12.5	11.09433962	0.004914135	C2	I1	FS	29	0.496296296
14.5	13.11627907	0.002033663	C2	I1	FS	26	0
16.5	15.34883721	0.002298532	C2	I1	FS	23	0
18.5	17.58139535	0.004728657	C2	I1	FS	21	0
20.5	19.81395349	0.00599526	C2	I1	FS	19	0
22.5	22.04651163	0.025310379	C2	I1	FS	18	0
24.5	24.22641509	0.046462747	C2	I1	FS	18	0
-1.5	-1.953488372	0.149896318	C2	I1	AS	17	0
0.5	0.226415094	0.278562927	C2	I1	AS	17	0
2.5	2.037735849	0.264159639	C2	I1	AS	18	0.744444444
4.5	3.849056604	0.132828268	C2	I1	AS	22	1.907407407
6.5	5.660377358	0.020941669	C2	I1	AS	26	2.533333333
8.5	7.471698113	0.010787922	C2	I1	AS	28	2.559259259
10.5	9.283018868	0.003236354	C2	I1	AS	29	1.385185185
12.5	11.09433962	0.004615097	C2	I1	AS	29	0.496296296
14.5	13.11627907	0.003467426	C2	I1	AS	26	0
16.5	15.34883721	0.003502064	C2	I1	AS	23	0
18.5	17.58139535	0.006478472	C2	I1	AS	21	0
20.5	19.81395349	0.01124674	C2	I1	AS	19	0
22.5	22.04651163	0.080378716	C2	I1	AS	18	0
24.5	24.22641509	0.155186965	C2	I1	AS	18	0
-1.5	-1.953488372	0.012600059	C2	I1	AS	17	0
0.5	0.226415094	0.029025651	C2	I1	AS	17	0
2.5	2.037735849	0.032245026	C2	I1	AS	18	0.744444444
4.5	3.849056604	0.020536703	C2	I1	AS	22	1.907407407
6.5	5.660377358	0.003417915	C2	I1	AS	26	2.533333333
8.5	7.471698113	0.000790437	C2	I1	AS	28	2.559259259
10.5	9.283018868	0	C2	I1	AS	29	1.385185185
12.5	11.09433962	0	C2	I1	AS	29	0.496296296
14.5	13.11627907	0	C2	I1	AS	26	0
16.5	15.34883721	0	C2	I1	AS	23	0
18.5	17.58139535	0	C2	I1	AS	21	0
20.5	19.81395349	0	C2	I1	AS	19	0
22.5	22.04651163	0.006576422	C2	I1	AS	18	0
24.5	24.22641509	0.016519562	C2	I1	AS	18	0
-1.5	-1.953488372	0.037431917	C2	I1	AS	17	0
0.5	0.226415094	0.061747448	C2	I1	AS	17	0
2.5	2.037735849	0.055137235	C2	I1	AS	18	0.744444444
4.5	3.849056604	0.026634953	C2	I1	AS	22	1.907407407
6.5	5.660377358	0.005539236	C2	I1	AS	26	2.533333333
8.5	7.471698113	0.001983249	C2	I1	AS	28	2.559259259
10.5	9.283018868	0	C2	I1	AS	29	1.385185185
12.5	11.09433962	0.000435867	C2	I1	AS	29	0.496296296
14.5	13.11627907	0.000574405	C2	I1	AS	26	0
16.5	15.34883721	0.000656071	C2	I1	AS	23	0
18.5	17.58139535	0.001857148	C2	I1	AS	21	0
20.5	19.81395349	0.003811011	C2	I1	AS	19	0
22.5	22.04651163	0.021124672	C2	I1	AS	18	0
24.5	24.22641509	0.034989975	C2	I1	AS	18	0
