ZT	CT	PRR37.32	Campo	Organ	Splice	Temperature	Light
-1.5	-1.953488372	0.385852552	C2	I1	FS	17	0
0.5	0.226415094	0.089717877	C2	I1	FS	17	0
2.5	2.037735849	0.221558093	C2	I1	FS	18	0.744444444
4.5	3.849056604	0.574488934	C2	I1	FS	22	1.907407407
6.5	5.660377358	0.302618597	C2	I1	FS	26	2.533333333
8.5	7.471698113	0.10415876	C2	I1	FS	28	2.559259259
10.5	9.283018868	0.131039704	C2	I1	FS	29	1.385185185
12.5	11.09433962	0.050597149	C2	I1	FS	29	0.496296296
14.5	13.11627907	0.032908279	C2	I1	FS	26	0
16.5	15.34883721	0.029497817	C2	I1	FS	23	0
18.5	17.58139535	0.080839018	C2	I1	FS	21	0
20.5	19.81395349	0.052758569	C2	I1	FS	19	0
22.5	22.04651163	0.039253537	C2	I1	FS	18	0
24.5	24.22641509	0.024431381	C2	I1	FS	18	0
-1.5	-1.953488372	0.026388169	C2	I1	FS	17	0
0.5	0.226415094	0.021487299	C2	I1	FS	17	0
2.5	2.037735849	0.048140004	C2	I1	FS	18	0.744444444
4.5	3.849056604	0.016237474	C2	I1	FS	22	1.907407407
6.5	5.660377358	0.031289991	C2	I1	FS	26	2.533333333
8.5	7.471698113	0.046036777	C2	I1	FS	28	2.559259259
10.5	9.283018868	0.01967783	C2	I1	FS	29	1.385185185
12.5	11.09433962	0.036328237	C2	I1	FS	29	0.496296296
14.5	13.11627907	0.03528766	C2	I1	FS	26	0
16.5	15.34883721	0.014059982	C2	I1	FS	23	0
18.5	17.58139535	0.048411615	C2	I1	FS	21	0
20.5	19.81395349	0.041133119	C2	I1	FS	19	0
22.5	22.04651163	0.036412093	C2	I1	FS	18	0
24.5	24.22641509	0.019611414	C2	I1	FS	18	0
-1.5	-1.953488372	0.021976067	C2	I1	FS	17	0
0.5	0.226415094	0.059285672	C2	I1	FS	17	0
2.5	2.037735849	0.017681172	C2	I1	FS	18	0.744444444
4.5	3.849056604	0.037811693	C2	I1	FS	22	1.907407407
6.5	5.660377358	0.014789768	C2	I1	FS	26	2.533333333
8.5	7.471698113	0.040436349	C2	I1	FS	28	2.559259259
10.5	9.283018868	0.009973435	C2	I1	FS	29	1.385185185
12.5	11.09433962	0.021473458	C2	I1	FS	29	0.496296296
14.5	13.11627907	0.036398587	C2	I1	FS	26	0
16.5	15.34883721	0.013251304	C2	I1	FS	23	0
18.5	17.58139535	0.135929863	C2	I1	FS	21	0
20.5	19.81395349	0.014705319	C2	I1	FS	19	0
22.5	22.04651163	0.033623893	C2	I1	FS	18	0
24.5	24.22641509	0.027314255	C2	I1	FS	18	0
-1.5	-1.953488372	0.002560897	C2	I1	AS	17	0
0.5	0.226415094	0.00487476	C2	I1	AS	17	0
2.5	2.037735849	0.00629763	C2	I1	AS	18	0.744444444
4.5	3.849056604	0.006492409	C2	I1	AS	22	1.907407407
6.5	5.660377358	0.008456893	C2	I1	AS	26	2.533333333
8.5	7.471698113	0.005341475	C2	I1	AS	28	2.559259259
10.5	9.283018868	0.003459496	C2	I1	AS	29	1.385185185
12.5	11.09433962	0.002255166	C2	I1	AS	29	0.496296296
14.5	13.11627907	0.001992027	C2	I1	AS	26	0
16.5	15.34883721	0.001593097	C2	I1	AS	23	0
18.5	17.58139535	0.001280802	C2	I1	AS	21	0
20.5	19.81395349	0	C2	I1	AS	19	0
22.5	22.04651163	0.003095222	C2	I1	AS	18	0
24.5	24.22641509	0	C2	I1	AS	18	0
-1.5	-1.953488372	0.001920018	C2	I1	AS	17	0
0.5	0.226415094	0.001917192	C2	I1	AS	17	0
2.5	2.037735849	0.002097731	C2	I1	AS	18	0.744444444
4.5	3.849056604	0	C2	I1	AS	22	1.907407407
6.5	5.660377358	0.003736743	C2	I1	AS	26	2.533333333
8.5	7.471698113	0.006670996	C2	I1	AS	28	2.559259259
10.5	9.283018868	0.00310103	C2	I1	AS	29	1.385185185
12.5	11.09433962	0.005205659	C2	I1	AS	29	0.496296296
14.5	13.11627907	0.002492587	C2	I1	AS	26	0
16.5	15.34883721	0.001884853	C2	I1	AS	23	0
18.5	17.58139535	0.005700602	C2	I1	AS	21	0
20.5	19.81395349	0.003398158	C2	I1	AS	19	0
22.5	22.04651163	0.002581827	C2	I1	AS	18	0
24.5	24.22641509	0.001515924	C2	I1	AS	18	0
-1.5	-1.953488372	0.002534845	C2	I1	AS	17	0
0.5	0.226415094	0.005024736	C2	I1	AS	17	0
2.5	2.037735849	0	C2	I1	AS	18	0.744444444
4.5	3.849056604	0.005488718	C2	I1	AS	22	1.907407407
6.5	5.660377358	0	C2	I1	AS	26	2.533333333
8.5	7.471698113	0.004756407	C2	I1	AS	28	2.559259259
10.5	9.283018868	0	C2	I1	AS	29	1.385185185
12.5	11.09433962	0.002978511	C2	I1	AS	29	0.496296296
14.5	13.11627907	0.003647906	C2	I1	AS	26	0
16.5	15.34883721	0.001898989	C2	I1	AS	23	0
18.5	17.58139535	0.006032863	C2	I1	AS	21	0
20.5	19.81395349	0	C2	I1	AS	19	0
22.5	22.04651163	0.001477422	C2	I1	AS	18	0
24.5	24.22641509	0.001979489	C2	I1	AS	18	0
