ZT	LHY_ratio	AS	Experiment
6.782608696	-2.450896947	I5R	C1L1
6.782608696	-2.337198068	I1R	C1L1
4.695652174	-2.301735918	I1R	C1L1
4.695652174	-2.263299284	I1R	C1L1
5.660377358	-2.200342921	I1R	C2L1
6.782608696	-2.123513602	I5R	C1L1
5.660377358	-2.020520384	I1R	C2L1
5.660377358	-1.977749294	I5R	C2L1
6.782608696	-1.942187707	I1R	C1L1
10.95652174	-1.896953504	I1R	C1L1
4.695652174	-1.81295907	I5R	C1L1
5.660377358	-1.691188022	I5R	C2L1
12.96	-1.652961631	I1R	C1L1
9.283018868	-1.576145827	I5R	C2L1
3.849056604	-1.569922699	I1R	C2I1
5.660377358	-1.566042732	I5R	C2I5
3.849056604	-1.497913283	I1R	C2I5
5.660377358	-1.452172577	I5R	C2L1
3.849056604	-1.426375302	I1R	C2L1
7.471698113	-1.420750844	I5R	C2I1
3.849056604	-1.403237817	I1R	C2I5
4.695652174	-1.398996247	I5R	C1L1
11.09433962	-1.392579231	I5R	C2L1
5.660377358	-1.39013795	I5R	C2I1
5.660377358	-1.379888338	I5R	C2I5
3.849056604	-1.350284598	I1R	C2L1
10.95652174	-1.349930345	I5R	C1L1
3.849056604	-1.347776956	I1R	C2I1
3.849056604	-1.327275362	I1R	C2I5
3.849056604	-1.308186428	I1R	C2L1
7.471698113	-1.295536673	I5R	C2I1
3.849056604	-1.269562772	I1R	C2I1
12.96	-1.267234223	I5R	C1L1
8.869565217	-1.259451144	I1R	C1L1
14.88	-1.245308052	I5R	C1L1
7.471698113	-1.212349506	I5R	C2I1
2.608695652	-1.147156748	I1R	C1L1
15.34883721	-1.140422681	I5R	C2L1
5.660377358	-1.130630754	I5R	C2I1
13.11627907	-1.125221336	I5R	C2L1
9.283018868	-1.099778403	I5R	C2I1
11.09433962	-1.052092751	I5R	C2I1
19.81395349	-1.027209818	I5R	C2L1
2.608695652	-1.026764497	I1R	C1L1
9.283018868	-1.018675485	I5R	C2I5
5.660377358	-0.963842355	I5R	C2I1
2.608695652	-0.942813584	I1R	C1L1
2.037735849	-0.917647516	I1R	C2I5
3.849056604	-0.905805283	I5R	C2L1
2.037735849	-0.901296614	I1R	C2I1
24.22641509	-0.886962646	I1R	C2I1
3.849056604	-0.885552241	I5R	C2L1
24.22641509	-0.868100932	I1R	C2I5
2.608695652	-0.852988951	I5R	C1L1
3.849056604	-0.852340382	I5R	C2L1
2.037735849	-0.847570064	I5R	C2L1
16.8	-0.845893238	I1R	C1L1
24.22641509	-0.836918994	I1R	C2I5
3.849056604	-0.829298759	I5R	C2I5
15.34883721	-0.826294285	I5R	C2I5
2.037735849	-0.824463302	I1R	C2I5
2.608695652	-0.814761414	I5R	C1L1
2.037735849	-0.780990756	I1R	C2I1
3.849056604	-0.772333284	I5R	C2I1
2.037735849	-0.766019089	I1R	C2I1
24.22641509	-0.762641833	I1R	C2I1
2.037735849	-0.750235673	I1R	C2I5
11.09433962	-0.748651902	I5R	C2I1
3.849056604	-0.742076271	I5R	C2I5
22.04651163	-0.733894433	I1R	C2I5
0.226415094	-0.705002565	I1R	C2I1
3.849056604	-0.688815456	I5R	C2I1
24.22641509	-0.677340913	I1R	C2I1
8.869565217	-0.671187893	I5R	C1L1
2.608695652	-0.662770593	I5R	C1L1
