ZT	PRR37_ratio	AS
-1.44	1.268115115	I6R
18.72	-1.419540039	I6R
24.52173913	-1.298098264	I6R
22.56	-1.28624304	I6R
24.52173913	-1.277107127	I6R
16.8	-1.262745815	I6R
16.8	-1.257192985	I6R
16.8	-1.239920761	I6R
24.52173913	-1.2364268	I6R
14.88	-1.181566308	I6R
-1.44	-1.164105253	I6R
22.56	-1.043156096	I6R
14.88	-0.981921544	I6R
18.72	-0.932511696	I6R
12.96	-0.871548025	I6R
12.96	-0.8361759	I6R
10.95652174	-0.748318185	I6R
6.782608696	-0.709401272	I6R
12.96	-0.708376017	I6R
10.95652174	-0.697882909	I6R
0.52173913	-0.69183835	I6R
20.64	-0.690928585	I6R
8.869565217	-0.684990311	I6R
0.52173913	-0.677089848	I6R
10.95652174	-0.666214389	I6R
8.869565217	-0.506469234	I6R
6.782608696	-0.430378367	I6R
6.782608696	-0.397385772	I6R
4.695652174	-0.39692605	I6R
2.608695652	-0.367980824	I6R
4.695652174	-0.336944201	I6R
4.695652174	-0.329825078	I6R
20.64	-0.306659395	I6R
-1.44	-0.267728276	I6R
18.72	-0.200535503	I6R
2.608695652	-0.131184505	I6R
20.64	0.374685693	I6R
14.88	0.431931961	I6R
22.56	0.642452743	I6R
8.869565217	1.023105559	I6R
17.58139535	-1.289905407	I6R
17.58139535	-1.207946069	I6R
-1.953488372	-1.193091817	I6R
19.81395349	-1.115467449	I6R
17.58139535	-1.071191372	I6R
15.34883721	-0.989110514	I6R
15.34883721	-0.955932991	I6R
-1.953488372	-0.936054589	I6R
15.34883721	-0.915216289	I6R
22.04651163	-0.895217487	I6R
19.81395349	-0.81815808	I6R
22.04651163	-0.777502608	I6R
0.226415094	-0.768672498	I6R
0.226415094	-0.740087471	I6R
19.81395349	-0.735260584	I6R
0.226415094	-0.700979468	I6R
24.22641509	-0.67012669	I6R
13.11627907	-0.666275256	I6R
24.22641509	-0.604875665	I6R
13.11627907	-0.600560141	I6R
9.283018868	-0.57299783	I6R
7.471698113	-0.536825672	I6R
7.471698113	-0.522108738	I6R
9.283018868	-0.516619473	I6R
7.471698113	-0.512757351	I6R
11.09433962	-0.500771117	I6R
13.11627907	-0.488591696	I6R
9.283018868	-0.486749138	I6R
11.09433962	-0.472192651	I6R
5.660377358	-0.464826937	I6R
5.660377358	-0.444281698	I6R
11.09433962	-0.430163023	I6R
5.660377358	-0.397980783	I6R
3.849056604	-0.310589857	I6R
2.037735849	-0.272434571	I6R
2.037735849	-0.215985215	I6R
3.849056604	-0.211872348	I6R
3.849056604	-0.181871243	I6R
2.037735849	-0.178140937	I6R
0.226415094	-0.813691837	I6R
