ZT	PRR37_ratio	AS
10.95652174	-1.779957051	E3S
8.869565217	-1.760912742	E3S
10.95652174	-1.758977662	E3S
10.95652174	-1.579296992	E3S
16.8	-1.57639371	E3S
12.96	-1.572626934	E3S
8.869565217	-1.563101585	E3S
6.782608696	-1.562601065	E3S
6.782608696	-1.534848701	E3S
24.52173913	-1.509594858	E3S
12.96	-1.499539955	E3S
22.56	-1.479527324	E3S
24.52173913	-1.474122983	E3S
4.695652174	-1.431681305	E3S
14.88	-1.313547203	E3S
4.695652174	-1.277987394	E3S
4.695652174	-1.167250418	E3S
6.782608696	-1.127277408	E3S
0.52173913	-1.101405888	E3S
14.88	-1.046246686	E3S
2.608695652	-0.906230089	E3S
11.09433962	-1.821847192	E3S
11.09433962	-1.811397368	E3S
13.11627907	-1.661447498	E3S
9.283018868	-1.653139545	E3S
13.11627907	-1.639418531	E3S
15.34883721	-1.520648241	E3S
15.34883721	-1.487062689	E3S
7.471698113	-1.443403262	E3S
17.58139535	-1.441335897	E3S
15.34883721	-1.436959835	E3S
7.471698113	-1.416594025	E3S
7.471698113	-1.415131595	E3S
17.58139535	-1.368458778	E3S
5.660377358	-1.255048551	E3S
0.226415094	-1.213184733	E3S
-1.953488372	-1.18533267	E3S
2.037735849	-1.141160789	E3S
3.849056604	-1.12979311	E3S
3.849056604	-1.124469932	E3S
3.849056604	-1.274283885	E3S
3.849056604	-1.121330427	E3S
19.81395349	-1.103983279	E3S
17.58139535	-0.994302212	E3S
17.58139535	-0.975986109	E3S
2.037735849	-0.908985273	E3S
24.22641509	-0.891158365	E3S
13.11627907	-0.83533994	E3S
24.22641509	-0.821046299	E3S
24.22641509	-0.786105337	E3S
22.04651163	-0.756696716	E3S
2.037735849	-0.705199151	E3S
22.04651163	-0.68606028	E3S
2.037735849	-0.662021232	E3S
22.04651163	-0.650485381	E3S
-1.953488372	-0.591117608	E3S
19.81395349	-0.575265538	E3S
0.226415094	-0.562930345	E3S
0.226415094	-0.498823717	E3S
0.226415094	-0.491490202	E3S
-1.953488372	-0.40442424	E3S
7.471698113	-1.830723964	E3S
5.660377358	-1.644066278	E3S
13.11627907	-1.520251328	E3S
13.11627907	-1.511341283	E3S
15.34883721	-1.479206311	E3S
11.09433962	-1.3942462	E3S
15.34883721	-1.295819201	E3S
15.34883721	-1.295433647	E3S
-1.953488372	-1.239205414	E3S
17.58139535	-1.186298072	E3S
5.660377358	-1.108450734	E3S
3.849056604	-1.078392337	E3S
19.81395349	-1.046161706	E3S
22.04651163	-0.983780592	E3S
3.849056604	-0.980747581	E3S
0.226415094	-0.970234858	E3S
3.849056604	-0.957432612	E3S
2.037735849	-0.950550664	E3S
22.04651163	-0.898452271	E3S
0.226415094	-0.884635458	E3S
2.037735849	-0.852381437	E3S
2.037735849	-0.712066441	E3S
