ZT	TOC1_ratio	AS
12.96	-0.718063246	I3R
0.52173913	-0.895084332	I3R
24.52173913	-0.897536722	I3R
22.56	-0.944176168	I3R
24.52173913	-0.960256872	I3R
4.695652174	-0.974308786	I3R
4.695652174	-1.041023867	I3R
22.56	-1.049555077	I3R
-1.44	-1.095399169	I3R
-1.44	-1.125056735	I3R
12.96	-1.173863431	I3R
12.96	-1.199167272	I3R
6.782608696	-1.217351169	I3R
8.869565217	-1.233588757	I3R
10.95652174	-1.267319367	I3R
6.782608696	-1.309093313	I3R
10.95652174	-1.324304875	I3R
8.869565217	-1.325693915	I3R
10.95652174	-1.473435463	I3R
9.283018868	-1.329073707	I3R
13.11627907	-1.31745448	I3R
13.11627907	-1.316513969	I3R
13.11627907	-1.306949196	I3R
15.34883721	-1.254165524	I3R
9.283018868	-1.242672942	I3R
15.34883721	-1.236466354	I3R
7.471698113	-1.207087721	I3R
11.09433962	-1.206790074	I3R
15.34883721	-1.198806114	I3R
11.09433962	-1.147725521	I3R
0.226415094	-1.136152352	I3R
7.471698113	-1.082034435	I3R
11.09433962	-1.068526787	I3R
7.471698113	-1.062617908	I3R
-1.953488372	-1.04478104	I3R
17.58139535	-1.035047197	I3R
17.58139535	-1.03393215	I3R
-1.953488372	-1.026146924	I3R
19.81395349	-0.997266756	I3R
19.81395349	-0.913736668	I3R
19.81395349	-0.865972653	I3R
-1.953488372	-0.839524793	I3R
5.660377358	0.285440815	I3R

