Time	Expression	Gene	Organ
-1.953488372	-0.0618	LSM	I1
0.226415094	-0.7293	LSM	I1
2.037735849	-1.264	LSM	I1
3.849056604	-0.6347	LSM	I1
5.660377358	0.3584	LSM	I1
7.471698113	0.6025	LSM	I1
9.283018868	1.1915	LSM	I1
11.09433962	1.4742	LSM	I1
13.11627907	2.2706	LSM	I1
15.34883721	-0.5129	LSM	I1
17.58139535	-0.4813	LSM	I1
19.81395349	-0.8055	LSM	I1
22.04651163	-0.4927	LSM	I1
24.22641509	-0.915	LSM	I1
-1.953488372	1.5171	PRP3.1	I1
0.226415094	1.1428	PRP3.1	I1
2.037735849	0.7129	PRP3.1	I1
3.849056604	-0.3881	PRP3.1	I1
5.660377358	-1.8416	PRP3.1	I1
7.471698113	-1.8634	PRP3.1	I1
9.283018868	-0.7881	PRP3.1	I1
11.09433962	-0.778	PRP3.1	I1
13.11627907	-0.3008	PRP3.1	I1
15.34883721	0.3612	PRP3.1	I1
17.58139535	0.236	PRP3.1	I1
19.81395349	0.5188	PRP3.1	I1
22.04651163	0.6495	PRP3.1	I1
24.22641509	0.8218	PRP3.1	I1
-1.953488372	1.1364	CBP80	I5
0.226415094	0.6759	CBP80	I5
2.037735849	0.7203	CBP80	I5
3.849056604	1.0718	CBP80	I5
5.660377358	-2.1599	CBP80	I5
7.471698113	-1.8784	CBP80	I5
9.283018868	-0.9825	CBP80	I5
11.09433962	-0.4066	CBP80	I5
13.11627907	0.5374	CBP80	I5
15.34883721	-0.2828	CBP80	I5
17.58139535	0.2322	CBP80	I5
19.81395349	0.6896	CBP80	I5
22.04651163	0.0471	CBP80	I5
24.22641509	0.5997	CBP80	I5
-1.953488372	0.1906	PRP3.2	I5
0.226415094	1.5358	PRP3.2	I5
2.037735849	1.8433	PRP3.2	I5
3.849056604	1.2267	PRP3.2	I5
5.660377358	-0.7939	PRP3.2	I5
7.471698113	-1.1785	PRP3.2	I5
9.283018868	-1.0815	PRP3.2	I5
11.09433962	-1.3368	PRP3.2	I5
13.11627907	-0.9232	PRP3.2	I5
15.34883721	-0.5216	PRP3.2	I5
17.58139535	-0.0334	PRP3.2	I5
19.81395349	0.6473	PRP3.2	I5
22.04651163	0.4272	PRP3.2	I5
24.22641509	-0.002	PRP3.2	I5
