Time	Expression	Gene	Organ
-1.953488372	0.935003955	RCF1	L1
0.226415094	1.30772241	RCF1	L1
2.037735849	1.63E+00	RCF1	L1
3.849056604	0.75374636	RCF1	L1
5.660377358	0.310961328	RCF1	L1
7.471698113	0.023801502	RCF1	L1
9.283018868	-0.609299186	RCF1	L1
11.09433962	-1.34030403	RCF1	L1
13.11627907	-1.613684038	RCF1	L1
15.34883721	-1.222260142	RCF1	L1
17.58139535	-0.728884872	RCF1	L1
19.81395349	-0.096844169	RCF1	L1
22.04651163	0.080655293	RCF1	L1
24.22641509	0.600722937	RCF1	L1
-1.953488372	-0.64591992	SM.1	L1
0.226415094	-0.595120961	SM.1	L1
2.037735849	-4.03E-01	SM.1	L1
3.849056604	-1.109135951	SM.1	L1
5.660377358	0.542618987	SM.1	L1
7.471698113	1.555488491	SM.1	L1
9.283018868	1.560017543	SM.1	L1
11.09433962	1.298392512	SM.1	L1
13.11627907	0.605736628	SM.1	L1
15.34883721	0.484801301	SM.1	L1
17.58139535	-0.530766361	SM.1	L1
19.81395349	-0.343629783	SM.1	L1
22.04651163	-1.041103807	SM.1	L1
24.22641509	-1.388973554	SM.1	L1
-1.953488372	-0.062538773	LSM.1	L1
0.226415094	-0.654830147	LSM.1	L1
2.037735849	-8.14E-01	LSM.1	L1
3.849056604	-1.570503733	LSM.1	L1
5.660377358	-1.372383984	LSM.1	L1
7.471698113	0.211128585	LSM.1	L1
9.283018868	0.765112262	LSM.1	L1
11.09433962	1.385007372	LSM.1	L1
13.11627907	1.402448848	LSM.1	L1
15.34883721	1.184189494	LSM.1	L1
17.58139535	0.66624511	LSM.1	L1
19.81395349	0.124113929	LSM.1	L1
22.04651163	-0.196385238	LSM.1	L1
24.22641509	-1.067206335	LSM.1	L1
-1.953488372	-0.097903457	LSM.2	L1
0.226415094	-0.954666066	LSM.2	L1
2.037735849	-7.85E-01	LSM.2	L1
3.849056604	-1.166265292	LSM.2	L1
5.660377358	-0.303250176	LSM.2	L1
7.471698113	0.244758642	LSM.2	L1
9.283018868	0.356827264	LSM.2	L1
11.09433962	1.058147498	LSM.2	L1
13.11627907	1.564431713	LSM.2	L1
15.34883721	1.100257548	LSM.2	L1
17.58139535	1.369877501	LSM.2	L1
19.81395349	-0.313560874	LSM.2	L1
22.04651163	-0.357598157	LSM.2	L1
24.22641509	-1.714755918	LSM.2	L1
-1.953488372	-0.235123228	LSM.3	L1
0.226415094	-0.638434053	LSM.3	L1
2.037735849	-1.01E+00	LSM.3	L1
3.849056604	-2.015699869	LSM.3	L1
5.660377358	-1.644513527	LSM.3	L1
7.471698113	0.068898815	LSM.3	L1
9.283018868	0.694288056	LSM.3	L1
11.09433962	1.052080083	LSM.3	L1
13.11627907	0.796046306	LSM.3	L1
15.34883721	0.835747441	LSM.3	L1
17.58139535	0.93943293	LSM.3	L1
19.81395349	0.881230295	LSM.3	L1
22.04651163	0.389013308	LSM.3	L1
24.22641509	-0.112165343	LSM.3	L1
-1.953488372	-0.324728174	CDC5	L1
0.226415094	-0.996257757	CDC5	L1
2.037735849	-1.34E+00	CDC5	L1
3.849056604	-1.909025573	CDC5	L1
5.660377358	0.538006125	CDC5	L1
7.471698113	0.819384898	CDC5	L1
9.283018868	1.645019599	CDC5	L1
11.09433962	0.56344585	CDC5	L1
13.11627907	0.907171221	CDC5	L1
15.34883721	0.4857776	CDC5	L1
17.58139535	0.873058863	CDC5	L1
19.81395349	-0.29263943	CDC5	L1
22.04651163	-0.275197801	CDC5	L1
24.22641509	-0.673946212	CDC5	L1
-1.953488372	-0.793452527	SR.1	L1
0.226415094	-1.01309679	SR.1	L1
2.037735849	-1.35E+00	SR.1	L1
3.849056604	-2.143871188	SR.1	L1
5.660377358	-0.530962129	SR.1	L1
7.471698113	-0.009546732	SR.1	L1
9.283018868	0.869179382	SR.1	L1
11.09433962	0.863108569	SR.1	L1
13.11627907	0.346318553	SR.1	L1
15.34883721	0.683104141	SR.1	L1
17.58139535	0.47380563	SR.1	L1
19.81395349	1.182452614	SR.1	L1
22.04651163	0.611796177	SR.1	L1
24.22641509	0.783898912	SR.1	L1
-1.953488372	0.155817836	SM.2	L1
0.226415094	0.005838087	SM.2	L1
2.037735849	-6.08E-01	SM.2	L1
3.849056604	-1.708696268	SM.2	L1
5.660377358	-1.790604222	SM.2	L1
7.471698113	-0.156588734	SM.2	L1
9.283018868	0.194362755	SM.2	L1
11.09433962	1.155287591	SM.2	L1
13.11627907	1.401975074	SM.2	L1
15.34883721	1.211081361	SM.2	L1
17.58139535	0.896169371	SM.2	L1
19.81395349	-0.106865788	SM.2	L1
22.04651163	0.234064022	SM.2	L1
24.22641509	-0.884220447	SM.2	L1
-1.953488372	0.818585562	CBP80.2	L1
0.226415094	-0.344623655	CBP80.2	L1
2.037735849	-1.56E-02	CBP80.2	L1
3.849056604	-1.940176081	CBP80.2	L1
5.660377358	-1.993849987	CBP80.2	L1
7.471698113	-0.925479092	CBP80.2	L1
9.283018868	0.059538251	CBP80.2	L1
11.09433962	0.318175166	CBP80.2	L1
13.11627907	0.47640237	CBP80.2	L1
15.34883721	0.742459197	CBP80.2	L1
17.58139535	1.121741946	CBP80.2	L1
19.81395349	0.651396647	CBP80.2	L1
22.04651163	1.027113984	CBP80.2	L1
24.22641509	-0.004350078	CBP80.2	L1
-1.953488372	-0.345750039	SR.2	L1
0.226415094	-0.246040312	SR.2	L1
2.037735849	-8.25E-01	SR.2	L1
3.849056604	-2.044627738	SR.2	L1
5.660377358	-1.829642137	SR.2	L1
7.471698113	-0.035750631	SR.2	L1
9.283018868	0.545895755	SR.2	L1
11.09433962	0.496943409	SR.2	L1
13.11627907	0.752208696	SR.2	L1
15.34883721	1.04303189	SR.2	L1
17.58139535	0.939441786	SR.2	L1
19.81395349	1.153463758	SR.2	L1
22.04651163	0.44124566	SR.2	L1
24.22641509	-0.041243316	SR.2	L1
-1.953488372	0.829478187	STA1	L1
0.226415094	0.458854799	STA1	L1
2.037735849	5.17E-01	STA1	L1
3.849056604	-1.348420005	STA1	L1
5.660377358	-1.88121055	STA1	L1
7.471698113	-1.074460244	STA1	L1
9.283018868	-1.061354888	STA1	L1
11.09433962	0.24600075	STA1	L1
13.11627907	-0.692381295	STA1	L1
15.34883721	0.407986807	STA1	L1
17.58139535	0.842583544	STA1	L1
19.81395349	1.327385358	STA1	L1
22.04651163	0.711626345	STA1	L1
24.22641509	0.711626345	STA1	L1
