Temperature	LHY_ratio	Organ	Harvest	Primer
22	-1.569922699	I1	C2	P1
28	-1.420750844	I1	C2	P4
26	-1.39013795	I1	C2	P4
22	-1.347776956	I1	C2	P1
28	-1.295536673	I1	C2	P4
22	-1.269562772	I1	C2	P1
28	-1.212349506	I1	C2	P4
26	-1.130630754	I1	C2	P4
29	-1.099778403	I1	C2	P4
29	-1.052092751	I1	C2	P4
26	-0.963842355	I1	C2	P4
18	-0.901296614	I1	C2	P1
18	-0.886962646	I1	C2	P1
18	-0.780990756	I1	C2	P1
22	-0.772333284	I1	C2	P4
18	-0.766019089	I1	C2	P1
18	-0.762641833	I1	C2	P1
29	-0.748651902	I1	C2	P4
17	-0.705002565	I1	C2	P1
22	-0.688815456	I1	C2	P4
18	-0.677340913	I1	C2	P1
17	-0.628609105	I1	C2	P1
18	-0.619402547	I1	C2	P1
18	-0.593845584	I1	C2	P1
19	-0.584919933	I1	C2	P1
17	-0.567665889	I1	C2	P1
26	-0.549060916	I1	C2	P4
23	-0.544499971	I1	C2	P4
19	-0.543757723	I1	C2	P1
18	-0.543484184	I1	C2	P1
17	-0.534354232	I1	C2	P1
22	-0.518346876	I1	C2	P4
17	-0.493330623	I1	C2	P1
26	-0.465137473	I1	C2	P4
17	-0.46265869	I1	C2	P1
21	-0.40589135	I1	C2	P4
21	-0.340888882	I1	C2	P4
23	-0.309206735	I1	C2	P4
18	-0.220004223	I1	C2	P4
19	-0.196767884	I1	C2	P4
19	-0.188644092	I1	C2	P4
18	-0.187111064	I1	C2	P4
18	-0.139876736	I1	C2	P4
18	-0.123161254	I1	C2	P4
18	-0.11455458	I1	C2	P4
18	-0.078508675	I1	C2	P4
18	-0.055224958	I1	C2	P4
17	-0.041617964	I1	C2	P4
17	-0.04142647	I1	C2	P4
17	0.051736045	I1	C2	P4
17	0.058035405	I1	C2	P4
18	0.071798312	I1	C2	P4
17	0.17318998	I1	C2	P4
18	0.198105042	I1	C2	P4
17	0.266310153	I1	C2	P4
