Temperature	LHY_ratio	Organ	Harvest	Primer
26	-2.450896947	L1	C1	P4
26	-2.337198068	L1	C1	P1
24	-2.301735918	L1	C1	P1
24	-2.263299284	L1	C1	P1
26	-2.123513602	L1	C1	P4
26	-1.942187707	L1	C1	P1
26	-1.896953504	L1	C1	P1
24	-1.81295907	L1	C1	P4
21	-1.652961631	L1	C1	P1
24	-1.398996247	L1	C1	P4
26	-1.349930345	L1	C1	P4
21	-1.267234223	L1	C1	P4
27	-1.259451144	L1	C1	P1
18	-1.245308052	L1	C1	P4
19	-1.147156748	L1	C1	P1
19	-1.026764497	L1	C1	P1
19	-0.942813584	L1	C1	P1
19	-0.852988951	L1	C1	P4
14	-0.845893238	L1	C1	P1
19	-0.814761414	L1	C1	P4
27	-0.671187893	L1	C1	P4
19	-0.662770593	L1	C1	P4
14	-0.580968531	L1	C1	P1
24	-0.45811854	L1	C1	P4
14	-0.349303684	L1	C1	P1
13	-0.315853772	L1	C1	P1
13	-0.312136066	L1	C1	P4
14	-0.300366614	L1	C1	P4
10	-0.289343855	L1	C1	P1
14	-0.273088209	L1	C1	P1
10	-0.237206092	L1	C1	P1
14	-0.213396961	L1	C1	P4
10	-0.195442467	L1	C1	P4
10	-0.17776635	L1	C1	P1
10	-0.173534857	L1	C1	P1
10	-0.170248975	L1	C1	P1
10	-0.146560331	L1	C1	P1
13	-0.141475732	L1	C1	P1
13	-0.0879358	L1	C1	P1
14	-0.083955101	L1	C1	P1
13	-0.060756033	L1	C1	P4
12	-0.056000261	L1	C1	P1
10	-0.023997698	L1	C1	P4
12	0.033784824	L1	C1	P1
12	0.034467284	L1	C1	P1
13	0.051098613	L1	C1	P4
12	0.051854453	L1	C1	P1
14	0.109648819	L1	C1	P4
12	0.113708089	L1	C1	P1
10	0.132060247	L1	C1	P4
12	0.139183107	L1	C1	P1
14	0.144609909	L1	C1	P4
14	0.185918567	L1	C1	P4
12	0.220325612	L1	C1	P4
12	0.253285779	L1	C1	P4
10	0.256130996	L1	C1	P4
12	0.26704616	L1	C1	P4
12	0.276995049	L1	C1	P4
10	0.290309886	L1	C1	P4
10	0.298338715	L1	C1	P4
12	0.341567494	L1	C1	P4
12	0.406485748	L1	C1	P4
14	1.148762729	L1	C1	P4
