ZT	Temperature	Light	Sampling
-1.44	10	0	winter
-0.48	10	0	winter
0.52173913	10	0.073333333	winter
1.565217391	15	0.533333333	winter
2.608695652	19	1.166666667	winter
3.652173913	22	1.846666667	winter
4.695652174	24	2.313333333	winter
5.739130435	26	2.586666667	winter
6.782608696	26	2.786666667	winter
7.826086957	26	2.48	winter
8.869565217	27	2.206666667	winter
9.913043478	26	1.533333333	winter
10.95652174	26	0.866666667	winter
12	24	0.226666667	winter
12.96	21	0	winter
13.92	19	0	winter
14.88	18	0	winter
15.84	15	0	winter
16.8	14	0	winter
23.52	12	0	winter
24.52173913	12	0.073333333	winter
-1.953488372	17	0	summer
-0.837209302	17	0	summer
0.226415094	17	0	summer
1.132075472	16	0.244444444	summer
2.037735849	18	0.744444444	summer
2.943396226	20	1.362962963	summer
3.849056604	22	1.907407407	summer
4.754716981	23	2.337037037	summer
5.660377358	26	2.533333333	summer
6.566037736	27	2.674074074	summer
7.471698113	28	2.559259259	summer
8.377358491	29	2.007407407	summer
9.283018868	29	1.385185185	summer
10.18867925	30	1.085185185	summer
11.09433962	29	0.496296296	summer
12	29	0.12962963	summer
13.11627907	26	0	summer
14.23255814	24	0	summer
15.34883721	23	0	summer
16.46511628	22	0	summer
24.22641509	18	0	summer
