ZT	CT	PRR37.1	Campo	Organ	Splice	Temperature	Light
-1.5	-1.953488372	0.007012595	C2	L1	FS	17	0
0.5	0.226415094	0	C2	L1	FS	17	0
2.5	2.037735849	0	C2	L1	FS	18	0.744444444
4.5	3.849056604	0.011245373	C2	L1	FS	22	1.907407407
6.5	5.660377358	0.018566095	C2	L1	FS	26	2.533333333
8.5	7.471698113	0.117258725	C2	L1	FS	28	2.559259259
10.5	9.283018868	0.016780305	C2	L1	FS	29	1.385185185
12.5	11.09433962	0.100882595	C2	L1	FS	29	0.496296296
14.5	13.11627907	0.128074384	C2	L1	FS	26	0
16.5	15.34883721	0.176073727	C2	L1	FS	23	0
18.5	17.58139535	0.134016998	C2	L1	FS	21	0
20.5	19.81395349	0.047209762	C2	L1	FS	19	0
22.5	22.04651163	0.024752745	C2	L1	FS	18	0
24.5	24.22641509	0.014208569	C2	L1	FS	18	0
-1.5	-1.953488372	0	C2	L1	FS	17	0
0.5	0.226415094	0.08021763	C2	L1	FS	17	0
2.5	2.037735849	0.033199398	C2	L1	FS	18	0.744444444
4.5	3.849056604	0.147713247	C2	L1	FS	22	1.907407407
6.5	5.660377358	0.598151758	C2	L1	FS	26	2.533333333
8.5	7.471698113	0.826301129	C2	L1	FS	28	2.559259259
10.5	9.283018868	0.195728703	C2	L1	FS	29	1.385185185
12.5	11.09433962	0.39514048	C2	L1	FS	29	0.496296296
14.5	13.11627907	0.25663706	C2	L1	FS	26	0
16.5	15.34883721	0.279729987	C2	L1	FS	23	0
18.5	17.58139535	0	C2	L1	FS	21	0
20.5	19.81395349	0.027548994	C2	L1	FS	19	0
22.5	22.04651163	0.006363337	C2	L1	FS	18	0
24.5	24.22641509	0.0083316	C2	L1	FS	18	0
-1.5	-1.953488372	0.087000925	C2	L1	FS	17	0
0.5	0.226415094	0.099732628	C2	L1	FS	17	0
2.5	2.037735849	0.064679414	C2	L1	FS	18	0.744444444
4.5	3.849056604	0.24118265	C2	L1	FS	22	1.907407407
6.5	5.660377358	2.312385746	C2	L1	FS	26	2.533333333
8.5	7.471698113	0.500582092	C2	L1	FS	28	2.559259259
10.5	9.283018868	0.284002516	C2	L1	FS	29	1.385185185
