ZT	CT	TOC1.1	Campo	Organ	Splice	Temperature	Light
-1.5	-1.953488372	0.020912738	C2	L1	FS	17	0
0.5	0.226415094	0.011015503	C2	L1	FS	17	0
2.5	2.037735849	0.004482106	C2	L1	FS	18	0.744444444
4.5	3.849056604	0.009184885	C2	L1	FS	22	1.907407407
6.5	5.660377358	0.00929048	C2	L1	FS	26	2.533333333
8.5	7.471698113	0.036417125	C2	L1	FS	28	2.559259259
10.5	9.283018868	0.101021687	C2	L1	FS	29	1.385185185
12.5	11.09433962	0.182344388	C2	L1	FS	29	0.496296296
14.5	13.11627907	0.166423673	C2	L1	FS	26	0
16.5	15.34883721	0.046787436	C2	L1	FS	23	0
18.5	17.58139535	0.059001994	C2	L1	FS	21	0
20.5	19.81395349	0.022125275	C2	L1	FS	19	0
22.5	22.04651163	0.018090641	C2	L1	FS	18	0
24.5	24.22641509	0.007314378	C2	L1	FS	18	0
-1.5	-1.953488372	0.073426209	C2	L1	FS	17	0
0.5	0.226415094	0.01441482	C2	L1	FS	17	0
2.5	2.037735849	0	C2	L1	FS	18	0.744444444
4.5	3.849056604	0	C2	L1	FS	22	1.907407407
6.5	5.660377358	0.006528106	C2	L1	FS	26	2.533333333
8.5	7.471698113	0.048814457	C2	L1	FS	28	2.559259259
10.5	9.283018868	0.164663564	C2	L1	FS	29	1.385185185
12.5	11.09433962	0.152366545	C2	L1	FS	29	0.496296296
14.5	13.11627907	0.569270064	C2	L1	FS	26	0
16.5	15.34883721	0.207049223	C2	L1	FS	23	0
18.5	17.58139535	0.071873719	C2	L1	FS	21	0
20.5	19.81395349	0.056061533	C2	L1	FS	19	0
22.5	22.04651163	0.007207518	C2	L1	FS	18	0
24.5	24.22641509	0.002871371	C2	L1	FS	18	0
-1.5	-1.953488372	0.09042081	C2	L1	FS	17	0
0.5	0.226415094	0.101350409	C2	L1	FS	17	0
2.5	2.037735849	0	C2	L1	FS	18	0.744444444
4.5	3.849056604	0.008006128	C2	L1	FS	22	1.907407407
6.5	5.660377358	0.261234068	C2	L1	FS	26	2.533333333
8.5	7.471698113	0.108360282	C2	L1	FS	28	2.559259259
10.5	9.283018868	0.045153034	C2	L1	FS	29	1.385185185
12.5	11.09433962	0.576438563	C2	L1	FS	29	0.496296296
14.5	13.11627907	0.453956367	C2	L1	FS	26	0
16.5	15.34883721	0.207092742	C2	L1	FS	23	0
18.5	17.58139535	0.116308679	C2	L1	FS	21	0
20.5	19.81395349	0.051143438	C2	L1	FS	19	0
22.5	22.04651163	0.018221934	C2	L1	FS	18	0
24.5	24.22641509	0.003831257	C2	L1	FS	18	0
-1.5	-1.953488372	0.00302612	C2	L1	AS	17	0
0.5	0.226415094	0	C2	L1	AS	17	0
2.5	2.037735849	0	C2	L1	AS	18	0.744444444
4.5	3.849056604	0	C2	L1	AS	22	1.907407407
6.5	5.660377358	0	C2	L1	AS	26	2.533333333
8.5	7.471698113	0.003152737	C2	L1	AS	28	2.559259259
10.5	9.283018868	0.005777523	C2	L1	AS	29	1.385185185
12.5	11.09433962	0.015572761	C2	L1	AS	29	0.496296296
14.5	13.11627907	0.008012363	C2	L1	AS	26	0
16.5	15.34883721	0.002960214	C2	L1	AS	23	0
18.5	17.58139535	0.005442764	C2	L1	AS	21	0
20.5	19.81395349	0.002698684	C2	L1	AS	19	0
22.5	22.04651163	0	C2	L1	AS	18	0
24.5	24.22641509	0	C2	L1	AS	18	0
-1.5	-1.953488372	0.006913599	C2	L1	AS	17	0
0.5	0.226415094	0	C2	L1	AS	17	0
2.5	2.037735849	0	C2	L1	AS	18	0.744444444
4.5	3.849056604	0	C2	L1	AS	22	1.907407407
6.5	5.660377358	0.012595865	C2	L1	AS	26	2.533333333
8.5	7.471698113	0.004041234	C2	L1	AS	28	2.559259259
10.5	9.283018868	0.007718338	C2	L1	AS	29	1.385185185
12.5	11.09433962	0.009464541	C2	L1	AS	29	0.496296296
14.5	13.11627907	0.027466567	C2	L1	AS	26	0
16.5	15.34883721	0.012011777	C2	L1	AS	23	0
18.5	17.58139535	0.006647188	C2	L1	AS	21	0
20.5	19.81395349	0.007632948	C2	L1	AS	19	0
22.5	22.04651163	0	C2	L1	AS	18	0
24.5	24.22641509	0	C2	L1	AS	18	0
-1.5	-1.953488372	0.00815619	C2	L1	AS	17	0
0.5	0.226415094	0.007407525	C2	L1	AS	17	0
2.5	2.037735849	0	C2	L1	AS	18	0.744444444
4.5	3.849056604	0	C2	L1	AS	22	1.907407407
6.5	5.660377358	0	C2	L1	AS	26	2.533333333
8.5	7.471698113	0.006726396	C2	L1	AS	28	2.559259259
10.5	9.283018868	0	C2	L1	AS	29	1.385185185
12.5	11.09433962	0.041023008	C2	L1	AS	29	0.496296296
14.5	13.11627907	0.022390558	C2	L1	AS	26	0
16.5	15.34883721	0.011534515	C2	L1	AS	23	0
18.5	17.58139535	0	C2	L1	AS	21	0
20.5	19.81395349	0.005146633	C2	L1	AS	19	0
22.5	22.04651163	0	C2	L1	AS	18	0
24.5	24.22641509	0	C2	L1	AS	18	0
