ZT	CT	LHY.1	Campo	Organ	Splice	Temperature	Light
-1.5	-1.953488372	0.003723256	C2	I1	AS	10	0
-1.5	-1.953488372	0.007548264	C2	I1	AS	10	0
-1.5	-1.953488372	0.012021983	C2	I1	AS	10	0
0.5	0.226415094	0.012629808	C2	I1	AS	10	0.073333333
0.5	0.226415094	0.006842901	C2	I1	AS	10	0.073333333
0.5	0.226415094	0.040140231	C2	I1	AS	10	0.073333333
2.5	2.037735849	0.012367049	C2	I1	AS	19	1.166666667
2.5	2.037735849	0.022940282	C2	I1	AS	19	1.166666667
2.5	2.037735849	0.035890058	C2	I1	AS	19	1.166666667
4.5	3.849056604	0.00721647	C2	I1	AS	24	2.313333333
4.5	3.849056604	0.006269443	C2	I1	AS	24	2.313333333
4.5	3.849056604	0.014982972	C2	I1	AS	24	2.313333333
6.5	5.660377358	0	C2	I1	AS	26	2.786666667
6.5	5.660377358	0	C2	I1	AS	26	2.786666667
6.5	5.660377358	0	C2	I1	AS	26	2.786666667
8.5	7.471698113	0	C2	I1	AS	27	2.206666667
8.5	7.471698113	0	C2	I1	AS	27	2.206666667
8.5	7.471698113	0	C2	I1	AS	27	2.206666667
10.5	9.283018868	0	C2	I1	AS	26	0.866666667
10.5	9.283018868	0	C2	I1	AS	26	0.866666667
10.5	9.283018868	0	C2	I1	AS	26	0.866666667
12.5	11.09433962	0	C2	I1	AS	21	0
12.5	11.09433962	0	C2	I1	AS	21	0
12.5	11.09433962	0	C2	I1	AS	21	0
14.5	13.11627907	0	C2	I1	AS	18	0
14.5	13.11627907	0	C2	I1	AS	18	0
14.5	13.11627907	0	C2	I1	AS	18	0
16.5	15.34883721	0	C2	I1	AS	14	0
16.5	15.34883721	0	C2	I1	AS	14	0
16.5	15.34883721	0	C2	I1	AS	14	0
18.5	17.58139535	0	C2	I1	AS	14	0
18.5	17.58139535	0	C2	I1	AS	14	0
18.5	17.58139535	0	C2	I1	AS	14	0
20.5	19.81395349	0.00219199	C2	I1	AS	13	0
20.5	19.81395349	0.001711918	C2	I1	AS	13	0
20.5	19.81395349	0	C2	I1	AS	13	0
22.5	22.04651163	0.00174448	C2	I1	AS	12	0
22.5	22.04651163	0.007870409	C2	I1	AS	12	0
22.5	22.04651163	0.002603608	C2	I1	AS	12	0
24.5	24.22641509	0.004816082	C2	I1	AS	12	0.073333333
24.5	24.22641509	0.019615966	C2	I1	AS	12	0.073333333
24.5	24.22641509	0.009736217	C2	I1	AS	12	0.073333333
-1.5	-1.953488372	0.007779478	C2	I5	AS	17	0
-1.5	-1.953488372	0.006752374	C2	I5	AS	17	0
-1.5	-1.953488372	0.003796862	C2	I5	AS	17	0
0.5	0.226415094	0.003515398	C2	I5	AS	17	0
0.5	0.226415094	0.010297414	C2	I5	AS	17	0
0.5	0.226415094	0.015733737	C2	I5	AS	17	0
2.5	2.037735849	0.006355611	C2	I5	AS	18	0.744444444
2.5	2.037735849	0.022477014	C2	I5	AS	18	0.744444444
2.5	2.037735849	0.011040248	C2	I5	AS	18	0.744444444
4.5	3.849056604	0.00995896	C2	I5	AS	22	1.907407407
4.5	3.849056604	0.015359886	C2	I5	AS	22	1.907407407
4.5	3.849056604	0.006659994	C2	I5	AS	22	1.907407407
6.5	5.660377358	0	C2	I5	AS	26	2.533333333
6.5	5.660377358	0	C2	I5	AS	26	2.533333333
6.5	5.660377358	0	C2	I5	AS	26	2.533333333
8.5	7.471698113	0	C2	I5	AS	28	2.559259259
8.5	7.471698113	0	C2	I5	AS	28	2.559259259
8.5	7.471698113	0	C2	I5	AS	28	2.559259259
10.5	9.283018868	0	C2	I5	AS	29	1.385185185
10.5	9.283018868	0	C2	I5	AS	29	1.385185185
10.5	9.283018868	0	C2	I5	AS	29	1.385185185
12.5	11.09433962	0	C2	I5	AS	29	0.496296296
12.5	11.09433962	0	C2	I5	AS	29	0.496296296
12.5	11.09433962	0	C2	I5	AS	29	0.496296296
14.5	13.11627907	0	C2	I5	AS	26	0
14.5	13.11627907	0	C2	I5	AS	26	0
14.5	13.11627907	0	C2	I5	AS	26	0
16.5	15.34883721	0	C2	I5	AS	23	0
16.5	15.34883721	0	C2	I5	AS	23	0
16.5	15.34883721	0	C2	I5	AS	23	0
18.5	17.58139535	0	C2	I5	AS	21	0
18.5	17.58139535	0	C2	I5	AS	21	0
18.5	17.58139535	0	C2	I5	AS	21	0
20.5	19.81395349	0	C2	I5	AS	19	0
20.5	19.81395349	0	C2	I5	AS	19	0
20.5	19.81395349	0	C2	I5	AS	19	0
22.5	22.04651163	0	C2	I5	AS	18	0
22.5	22.04651163	0.032686327	C2	I5	AS	18	0
22.5	22.04651163	0	C2	I5	AS	18	0
24.5	24.22641509	0	C2	I5	AS	18	0
24.5	24.22641509	0.01417709	C2	I5	AS	18	0
24.5	24.22641509	0.002075701	C2	I5	AS	18	0
-1.5	-1.953488372	0.027660234	C2	L1	AS	10	0
-1.5	-1.953488372	0.023643561	C2	L1	AS	10	0
-1.5	-1.953488372	0.045367345	C2	L1	AS	10	0
0.5	0.226415094	0.169487215	C2	L1	AS	10	0.073333333
0.5	0.226415094	0.010691461	C2	L1	AS	10	0.073333333
