ZT	CT	LHY.4	Campo	Organ	Splice	Temperature	Light
-1.5	-1.953488372	0.131146154	C2	I1	FS	17	0
-1.5	-1.953488372	0.006824368	C2	I1	FS	17	0
-1.5	-1.953488372	0.033228139	C2	I1	FS	17	0
0.5	0.226415094	0.306443057	C2	I1	FS	17	0
0.5	0.226415094	0.019480136	C2	I1	FS	17	0
0.5	0.226415094	0.067957435	C2	I1	FS	17	0
2.5	2.037735849	0.438400141	C2	I1	FS	18	0.744444444
2.5	2.037735849	0.041977572	C2	I1	FS	18	0.744444444
2.5	2.037735849	0.084831285	C2	I1	FS	18	0.744444444
4.5	3.849056604	0.786364311	C2	I1	FS	22	1.907407407
4.5	3.849056604	0.067745056	C2	I1	FS	22	1.907407407
4.5	3.849056604	0.130097031	C2	I1	FS	22	1.907407407
6.5	5.660377358	0.514220325	C2	I1	FS	26	2.533333333
6.5	5.660377358	0.031448766	C2	I1	FS	26	2.533333333
6.5	5.660377358	0.074830838	C2	I1	FS	26	2.533333333
8.5	7.471698113	0.284242264	C2	I1	FS	28	2.559259259
8.5	7.471698113	0.012888921	C2	I1	FS	28	2.559259259
8.5	7.471698113	0.039166423	C2	I1	FS	28	2.559259259
10.5	9.283018868	0.040722502	C2	I1	FS	29	1.385185185
10.5	9.283018868	0.004251435	C2	I1	FS	29	1.385185185
10.5	9.283018868	0.006682091	C2	I1	FS	29	1.385185185
12.5	11.09433962	0.025872162	C2	I1	FS	29	0.496296296
12.5	11.09433962	0.000789236	C2	I1	FS	29	0.496296296
12.5	11.09433962	0.004914135	C2	I1	FS	29	0.496296296
14.5	13.11627907	0.010119165	C2	I1	FS	26	0
14.5	13.11627907	0	C2	I1	FS	26	0
14.5	13.11627907	0.002033663	C2	I1	FS	26	0
16.5	15.34883721	0.007137249	C2	I1	FS	23	0
16.5	15.34883721	0	C2	I1	FS	23	0
16.5	15.34883721	0.002298532	C2	I1	FS	23	0
18.5	17.58139535	0.014202392	C2	I1	FS	21	0
18.5	17.58139535	0	C2	I1	FS	21	0
18.5	17.58139535	0.004728657	C2	I1	FS	21	0
20.5	19.81395349	0.017364838	C2	I1	FS	19	0
20.5	19.81395349	0.000460791	C2	I1	FS	19	0
20.5	19.81395349	0.00599526	C2	I1	FS	19	0
22.5	22.04651163	0.091277981	C2	I1	FS	18	0
22.5	22.04651163	0.004167587	C2	I1	FS	18	0
22.5	22.04651163	0.025310379	C2	I1	FS	18	0
24.5	24.22641509	0.214156853	C2	I1	FS	18	0
24.5	24.22641509	0.014002327	C2	I1	FS	18	0
24.5	24.22641509	0.046462747	C2	I1	FS	18	0
-1.5	-1.953488372	0.078787695	C2	I5	FS	17	0
-1.5	-1.953488372	0.004752905	C2	I5	FS	17	0
-1.5	-1.953488372	0.022329711	C2	I5	FS	17	0
0.5	0.226415094	0.296321462	C2	I5	FS	17	0
0.5	0.226415094	0.021702245	C2	I5	FS	17	0
0.5	0.226415094	0.074646514	C2	I5	FS	17	0
2.5	2.037735849	0.242528449	C2	I5	FS	18	0.744444444
2.5	2.037735849	0.019840507	C2	I5	FS	18	0.744444444
2.5	2.037735849	0.054900851	C2	I5	FS	18	0.744444444
4.5	3.849056604	0.583509254	C2	I5	FS	22	1.907407407
4.5	3.849056604	0.053346216	C2	I5	FS	22	1.907407407
4.5	3.849056604	0.114949962	C2	I5	FS	22	1.907407407
6.5	5.660377358	0.20976402	C2	I5	FS	26	2.533333333
6.5	5.660377358	0.01250628	C2	I5	FS	26	2.533333333
6.5	5.660377358	0.037219283	C2	I5	FS	26	2.533333333
8.5	7.471698113	0.041712951	C2	I5	FS	28	2.559259259
8.5	7.471698113	0.002577077	C2	I5	FS	28	2.559259259
8.5	7.471698113	0.006013893	C2	I5	FS	28	2.559259259
10.5	9.283018868	0.012773576	C2	I5	FS	29	1.385185185
10.5	9.283018868	0.000650601	C2	I5	FS	29	1.385185185
10.5	9.283018868	0.001692899	C2	I5	FS	29	1.385185185
12.5	11.09433962	0.007153427	C2	I5	FS	29	0.496296296
12.5	11.09433962	0	C2	I5	FS	29	0.496296296
12.5	11.09433962	0	C2	I5	FS	29	0.496296296
14.5	13.11627907	0.005818538	C2	I5	FS	26	0
14.5	13.11627907	0	C2	I5	FS	26	0
14.5	13.11627907	0	C2	I5	FS	26	0
16.5	15.34883721	0.00443595	C2	I5	FS	23	0
16.5	15.34883721	0	C2	I5	FS	23	0
16.5	15.34883721	0	C2	I5	FS	23	0
18.5	17.58139535	0.006569278	C2	I5	FS	21	0
18.5	17.58139535	0	C2	I5	FS	21	0
18.5	17.58139535	0.002121102	C2	I5	FS	21	0
20.5	19.81395349	0.061708307	C2	I5	FS	19	0
20.5	19.81395349	0.001568714	C2	I5	FS	19	0
20.5	19.81395349	0.021961979	C2	I5	FS	19	0
22.5	22.04651163	0.199064085	C2	I5	FS	18	0
22.5	22.04651163	0.011447693	C2	I5	FS	18	0
22.5	22.04651163	0.054062839	C2	I5	FS	18	0
24.5	24.22641509	0.518595271	C2	I5	FS	18	0
24.5	24.22641509	0.036513315	C2	I5	FS	18	0
24.5	24.22641509	0.125569992	C2	I5	FS	18	0
-1.5	-1.953488372	0.01763986	C2	L1	FS	17	0
-1.5	-1.953488372	0.001118747	C2	L1	FS	17	0
