ZT	CT	PRR37.32	Campo	Organ	Splice	Temperature	Light
-1.5	-1.953488372	0.385852552	C2	I1	FS	17	0
-1.5	-1.953488372	0.026388169	C2	I1	FS	17	0
-1.5	-1.953488372	0.021976067	C2	I1	FS	17	0
0.5	0.226415094	0.089717877	C2	I1	FS	17	0
0.5	0.226415094	0.021487299	C2	I1	FS	17	0
0.5	0.226415094	0.059285672	C2	I1	FS	17	0
2.5	2.037735849	0.221558093	C2	I1	FS	18	0.744444444
2.5	2.037735849	0.048140004	C2	I1	FS	18	0.744444444
2.5	2.037735849	0.017681172	C2	I1	FS	18	0.744444444
4.5	3.849056604	0.574488934	C2	I1	FS	22	1.907407407
4.5	3.849056604	0.016237474	C2	I1	FS	22	1.907407407
4.5	3.849056604	0.037811693	C2	I1	FS	22	1.907407407
6.5	5.660377358	0.302618597	C2	I1	FS	26	2.533333333
6.5	5.660377358	0.031289991	C2	I1	FS	26	2.533333333
6.5	5.660377358	0.014789768	C2	I1	FS	26	2.533333333
8.5	7.471698113	0.10415876	C2	I1	FS	28	2.559259259
8.5	7.471698113	0.046036777	C2	I1	FS	28	2.559259259
8.5	7.471698113	0.040436349	C2	I1	FS	28	2.559259259
10.5	9.283018868	0.131039704	C2	I1	FS	29	1.385185185
10.5	9.283018868	0.01967783	C2	I1	FS	29	1.385185185
10.5	9.283018868	0.009973435	C2	I1	FS	29	1.385185185
12.5	11.09433962	0.050597149	C2	I1	FS	29	0.496296296
12.5	11.09433962	0.036328237	C2	I1	FS	29	0.496296296
12.5	11.09433962	0.021473458	C2	I1	FS	29	0.496296296
14.5	13.11627907	0.032908279	C2	I1	FS	26	0
14.5	13.11627907	0.03528766	C2	I1	FS	26	0
14.5	13.11627907	0.036398587	C2	I1	FS	26	0
16.5	15.34883721	0.029497817	C2	I1	FS	23	0
16.5	15.34883721	0.014059982	C2	I1	FS	23	0
16.5	15.34883721	0.013251304	C2	I1	FS	23	0
18.5	17.58139535	0.080839018	C2	I1	FS	21	0
18.5	17.58139535	0.048411615	C2	I1	FS	21	0
18.5	17.58139535	0.135929863	C2	I1	FS	21	0
20.5	19.81395349	0.052758569	C2	I1	FS	19	0
20.5	19.81395349	0.041133119	C2	I1	FS	19	0
20.5	19.81395349	0.014705319	C2	I1	FS	19	0
22.5	22.04651163	0.039253537	C2	I1	FS	18	0
22.5	22.04651163	0.036412093	C2	I1	FS	18	0
22.5	22.04651163	0.033623893	C2	I1	FS	18	0
24.5	24.22641509	0.024431381	C2	I1	FS	18	0
24.5	24.22641509	0.019611414	C2	I1	FS	18	0
24.5	24.22641509	0.027314255	C2	I1	FS	18	0
-1.5	-1.953488372	0.038774796	C2	I5	FS	17	0
-1.5	-1.953488372	0.041980471	C2	I5	FS	17	0
-1.5	-1.953488372	0.007212918	C2	I5	FS	17	0
0.5	0.226415094	0.121787302	C2	I5	FS	17	0
0.5	0.226415094	0.066234268	C2	I5	FS	17	0
0.5	0.226415094	0.033738542	C2	I5	FS	17	0
2.5	2.037735849	0.033188638	C2	I5	FS	18	0.744444444
2.5	2.037735849	0.049861061	C2	I5	FS	18	0.744444444
2.5	2.037735849	0.034820958	C2	I5	FS	18	0.744444444
4.5	3.849056604	0.157859987	C2	I5	FS	22	1.907407407
4.5	3.849056604	0.008303681	C2	I5	FS	22	1.907407407
4.5	3.849056604	0.050028911	C2	I5	FS	22	1.907407407
6.5	5.660377358	0.073433152	C2	I5	FS	26	2.533333333
6.5	5.660377358	0.327593751	C2	I5	FS	26	2.533333333
6.5	5.660377358	0.084070944	C2	I5	FS	26	2.533333333
8.5	7.471698113	0.113735443	C2	I5	FS	28	2.559259259
8.5	7.471698113	0.106738916	C2	I5	FS	28	2.559259259
8.5	7.471698113	0.075088317	C2	I5	FS	28	2.559259259
10.5	9.283018868	0.266567094	C2	I5	FS	29	1.385185185
10.5	9.283018868	0.158635625	C2	I5	FS	29	1.385185185
10.5	9.283018868	0.084819272	C2	I5	FS	29	1.385185185
12.5	11.09433962	0.257735619	C2	I5	FS	29	0.496296296
12.5	11.09433962	0.106347782	C2	I5	FS	29	0.496296296
12.5	11.09433962	0.117488513	C2	I5	FS	29	0.496296296
14.5	13.11627907	0.331997406	C2	I5	FS	26	0
14.5	13.11627907	0.156214411	C2	I5	FS	26	0
14.5	13.11627907	0.029442549	C2	I5	FS	26	0
16.5	15.34883721	0.134130568	C2	I5	FS	23	0
16.5	15.34883721	0.161349483	C2	I5	FS	23	0
16.5	15.34883721	0.053044789	C2	I5	FS	23	0
18.5	17.58139535	0.353632916	C2	I5	FS	21	0
18.5	17.58139535	0.073581037	C2	I5	FS	21	0
18.5	17.58139535	0.017397672	C2	I5	FS	21	0
20.5	19.81395349	0.255626258	C2	I5	FS	19	0
20.5	19.81395349	0.04510493	C2	I5	FS	19	0
20.5	19.81395349	0.013848637	C2	I5	FS	19	0
22.5	22.04651163	0.088318057	C2	I5	FS	18	0
22.5	22.04651163	0.038282715	C2	I5	FS	18	0
22.5	22.04651163	0.010124132	C2	I5	FS	18	0
24.5	24.22641509	0.079610431	C2	I5	FS	18	0
24.5	24.22641509	0.133702876	C2	I5	FS	18	0
24.5	24.22641509	0.012399991	C2	I5	FS	18	0
-1.5	-1.953488372	0.094569991	C2	L1	FS	17	0
-1.5	-1.953488372	0.053007416	C2	L1	FS	17	0
-1.5	-1.953488372	0.114711359	C2	L1	FS	17	0
0.5	0.226415094	0.07150275	C2	L1	FS	17	0
0.5	0.226415094	0.017800332	C2	L1	FS	17	0
0.5	0.226415094	0.070253944	C2	L1	FS	17	0
2.5	2.037735849	0.063981681	C2	L1	FS	18	0.744444444
2.5	2.037735849	0.034574615	C2	L1	FS	18	0.744444444
2.5	2.037735849	0.063220637	C2	L1	FS	18	0.744444444
4.5	3.849056604	0.20205001	C2	L1	FS	22	1.907407407
4.5	3.849056604	0.182243837	C2	L1	FS	22	1.907407407
4.5	3.849056604	0.29079787	C2	L1	FS	22	1.907407407
6.5	5.660377358	0.186290225	C2	L1	FS	26	2.533333333
6.5	5.660377358	0.660004701	C2	L1	FS	26	2.533333333
6.5	5.660377358	0.344973649	C2	L1	FS	26	2.533333333
